id, key, score, title, country, crawl_date, host, sentiment_score, concept, concept_relevance,
 HzyN7H1e42_h0Q9PdhIFVvwQEfqUueAj5vp3MiqR2e_FEzOtFkYhFvMq2tnMQbgE, South Africa, 1, Sport24.co.za | Poor governance  not players  will fail SA cricket, ZA, 2017-10-24T12:01:48Z, sport24.co.za, 0.00911482, Titans cricket team, 0.988757
 HzyN7H1e42_h0Q9PdhIFVvwQEfqUueAj5vp3MiqR2e_FEzOtFkYhFvMq2tnMQbgE, South Africa, 1, Sport24.co.za | Poor governance  not players  will fail SA cricket, ZA, 2017-10-24T12:01:48Z, sport24.co.za, 0.00911482, International Cricket Council, 0.853778
 HzyN7H1e42_h0Q9PdhIFVvwQEfqUueAj5vp3MiqR2e_FEzOtFkYhFvMq2tnMQbgE, South Africa, 1, Sport24.co.za | Poor governance  not players  will fail SA cricket, ZA, 2017-10-24T12:01:48Z, sport24.co.za, 0.00911482, Cricket, 0.760651
 HzyN7H1e42_h0Q9PdhIFVvwQEfqUueAj5vp3MiqR2e_FEzOtFkYhFvMq2tnMQbgE, South Africa, 1, Sport24.co.za | Poor governance  not players  will fail SA cricket, ZA, 2017-10-24T12:01:48Z, sport24.co.za, 0.00911482, Cricket World Cup, 0.760387
 HzyN7H1e42_h0Q9PdhIFVvwQEfqUueAj5vp3MiqR2e_FEzOtFkYhFvMq2tnMQbgE, South Africa, 1, Sport24.co.za | Poor governance  not players  will fail SA cricket, ZA, 2017-10-24T12:01:48Z, sport24.co.za, 0.00911482, South Africa national cricket team, 0.753054
 HzyN7H1e42_h0Q9PdhIFVvwQEfqUueAj5vp3MiqR2e_FEzOtFkYhFvMq2tnMQbgE, South Africa, 1, Sport24.co.za | Poor governance  not players  will fail SA cricket, ZA, 2017-10-24T12:01:48Z, sport24.co.za, 0.00911482, Test cricket, 0.70621
 HzyN7H1e42_h0Q9PdhIFVvwQEfqUueAj5vp3MiqR2e_FEzOtFkYhFvMq2tnMQbgE, South Africa, 1, Sport24.co.za | Poor governance  not players  will fail SA cricket, ZA, 2017-10-24T12:01:48Z, sport24.co.za, 0.00911482, South African cricketers, 0.615488
 HzyN7H1e42_h0Q9PdhIFVvwQEfqUueAj5vp3MiqR2e_FEzOtFkYhFvMq2tnMQbgE, South Africa, 1, Sport24.co.za | Poor governance  not players  will fail SA cricket, ZA, 2017-10-24T12:01:48Z, sport24.co.za, 0.00911482, Future, 0.583374
 HzyN7H1e42_h0Q9PdhIFVvwQEfqUueAj5vp3MiqR2e_FEzOtFkYhFvMq2tnMQbgE, South Africa, 1, Sport24.co.za | Poor governance  not players  will fail SA cricket, ZA, 2017-10-24T12:01:48Z, sport24.co.za, 0.00911482, One Day International, 0.576293
 HzyN7H1e42_h0Q9PdhIFVvwQEfqUueAj5vp3MiqR2e_FEzOtFkYhFvMq2tnMQbgE, South Africa, 1, Sport24.co.za | Poor governance  not players  will fail SA cricket, ZA, 2017-10-24T12:01:48Z, sport24.co.za, 0.00911482, Dale Steyn, 0.529042
 HzyN7H1e42_h0Q9PdhIFVvwQEfqUueAj5vp3MiqR2e_FEzOtFkYhFvMq2tnMQbgE, South Africa, 1, Sport24.co.za | Poor governance  not players  will fail SA cricket, ZA, 2017-10-24T12:01:48Z, sport24.co.za, 0.00911482, 2007 Cricket World Cup, 0.506104
 HzyN7H1e42_h0Q9PdhIFVvwQEfqUueAj5vp3MiqR2e_FEzOtFkYhFvMq2tnMQbgE, South Africa, 1, Sport24.co.za | Poor governance  not players  will fail SA cricket, ZA, 2017-10-24T12:01:48Z, sport24.co.za, 0.00911482, Time, 0.491824
 HzyN7H1e42_h0Q9PdhIFVvwQEfqUueAj5vp3MiqR2e_FEzOtFkYhFvMq2tnMQbgE, South Africa, 1, Sport24.co.za | Poor governance  not players  will fail SA cricket, ZA, 2017-10-24T12:01:48Z, sport24.co.za, 0.00911482, AB de Villiers, 0.481765
 HzyN7H1e42_h0Q9PdhIFVvwQEfqUueAj5vp3MiqR2e_FEzOtFkYhFvMq2tnMQbgE, South Africa, 1, Sport24.co.za | Poor governance  not players  will fail SA cricket, ZA, 2017-10-24T12:01:48Z, sport24.co.za, 0.00911482, Titans cricketers, 0.480113
 HzyN7H1e42_h0Q9PdhIFVvwQEfqUueAj5vp3MiqR2e_FEzOtFkYhFvMq2tnMQbgE, South Africa, 1, Sport24.co.za | Poor governance  not players  will fail SA cricket, ZA, 2017-10-24T12:01:48Z, sport24.co.za, 0.00911482, The Players, 0.472517
 HzyN7H1e42_h0Q9PdhIFVvwQEfqUueAj5vp3MiqR2e_FEzOtFkYhFvMq2tnMQbgE, South Africa, 1, Sport24.co.za | Poor governance  not players  will fail SA cricket, ZA, 2017-10-24T12:01:48Z, sport24.co.za, 0.00911482, South Africa, 0.472269
 Y8KR_ISjh2FYGzOBE8Xx2KtLKjZnRhcB2FCQSERYjzKWEdZ9PZHcC1in3JlioXdd, South Africa, 1, Invest in film industry  govt urged, LS, 2017-10-24T10:46:56Z, sundayexpress.co.ls, 0.0945718, Film, 0.975651
 Y8KR_ISjh2FYGzOBE8Xx2KtLKjZnRhcB2FCQSERYjzKWEdZ9PZHcC1in3JlioXdd, South Africa, 1, Invest in film industry  govt urged, LS, 2017-10-24T10:46:56Z, sundayexpress.co.ls, 0.0945718, United States, 0.967131
 Y8KR_ISjh2FYGzOBE8Xx2KtLKjZnRhcB2FCQSERYjzKWEdZ9PZHcC1in3JlioXdd, South Africa, 1, Invest in film industry  govt urged, LS, 2017-10-24T10:46:56Z, sundayexpress.co.ls, 0.0945718, Movie theater, 0.860703
 Y8KR_ISjh2FYGzOBE8Xx2KtLKjZnRhcB2FCQSERYjzKWEdZ9PZHcC1in3JlioXdd, South Africa, 1, Invest in film industry  govt urged, LS, 2017-10-24T10:46:56Z, sundayexpress.co.ls, 0.0945718, African cinema, 0.753152
 Y8KR_ISjh2FYGzOBE8Xx2KtLKjZnRhcB2FCQSERYjzKWEdZ9PZHcC1in3JlioXdd, South Africa, 1, Invest in film industry  govt urged, LS, 2017-10-24T10:46:56Z, sundayexpress.co.ls, 0.0945718, Film director, 0.67527
 Y8KR_ISjh2FYGzOBE8Xx2KtLKjZnRhcB2FCQSERYjzKWEdZ9PZHcC1in3JlioXdd, South Africa, 1, Invest in film industry  govt urged, LS, 2017-10-24T10:46:56Z, sundayexpress.co.ls, 0.0945718, Lesotho, 0.585739
 Y8KR_ISjh2FYGzOBE8Xx2KtLKjZnRhcB2FCQSERYjzKWEdZ9PZHcC1in3JlioXdd, South Africa, 1, Invest in film industry  govt urged, LS, 2017-10-24T10:46:56Z, sundayexpress.co.ls, 0.0945718, Confederate States of America, 0.56143
 Y8KR_ISjh2FYGzOBE8Xx2KtLKjZnRhcB2FCQSERYjzKWEdZ9PZHcC1in3JlioXdd, South Africa, 1, Invest in film industry  govt urged, LS, 2017-10-24T10:46:56Z, sundayexpress.co.ls, 0.0945718, Narrative, 0.529122
 Y8KR_ISjh2FYGzOBE8Xx2KtLKjZnRhcB2FCQSERYjzKWEdZ9PZHcC1in3JlioXdd, South Africa, 1, Invest in film industry  govt urged, LS, 2017-10-24T10:46:56Z, sundayexpress.co.ls, 0.0945718, Silicon, 0.526887
 Y8KR_ISjh2FYGzOBE8Xx2KtLKjZnRhcB2FCQSERYjzKWEdZ9PZHcC1in3JlioXdd, South Africa, 1, Invest in film industry  govt urged, LS, 2017-10-24T10:46:56Z, sundayexpress.co.ls, 0.0945718, South Africa, 0.516086
 Y8KR_ISjh2FYGzOBE8Xx2KtLKjZnRhcB2FCQSERYjzKWEdZ9PZHcC1in3JlioXdd, South Africa, 1, Invest in film industry  govt urged, LS, 2017-10-24T10:46:56Z, sundayexpress.co.ls, 0.0945718, Silicon Valley, 0.505202
 Y8KR_ISjh2FYGzOBE8Xx2KtLKjZnRhcB2FCQSERYjzKWEdZ9PZHcC1in3JlioXdd, South Africa, 1, Invest in film industry  govt urged, LS, 2017-10-24T10:46:56Z, sundayexpress.co.ls, 0.0945718, Diplomatic recognition, 0.503345
 Y8KR_ISjh2FYGzOBE8Xx2KtLKjZnRhcB2FCQSERYjzKWEdZ9PZHcC1in3JlioXdd, South Africa, 1, Invest in film industry  govt urged, LS, 2017-10-24T10:46:56Z, sundayexpress.co.ls, 0.0945718, Africa, 0.498069
 Y8KR_ISjh2FYGzOBE8Xx2KtLKjZnRhcB2FCQSERYjzKWEdZ9PZHcC1in3JlioXdd, South Africa, 1, Invest in film industry  govt urged, LS, 2017-10-24T10:46:56Z, sundayexpress.co.ls, 0.0945718, Basotho, 0.4948
 Y8KR_ISjh2FYGzOBE8Xx2KtLKjZnRhcB2FCQSERYjzKWEdZ9PZHcC1in3JlioXdd, South Africa, 1, Invest in film industry  govt urged, LS, 2017-10-24T10:46:56Z, sundayexpress.co.ls, 0.0945718, 2016, 0.494549
 Y8KR_ISjh2FYGzOBE8Xx2KtLKjZnRhcB2FCQSERYjzKWEdZ9PZHcC1in3JlioXdd, South Africa, 1, Invest in film industry  govt urged, LS, 2017-10-24T10:46:56Z, sundayexpress.co.ls, 0.0945718, Film festival, 0.49324
 Y8KR_ISjh2FYGzOBE8Xx2KtLKjZnRhcB2FCQSERYjzKWEdZ9PZHcC1in3JlioXdd, South Africa, 1, Invest in film industry  govt urged, LS, 2017-10-24T10:46:56Z, sundayexpress.co.ls, 0.0945718, A Story, 0.476882
 6M6Mkj9UOR2Wmf8_Z-uhORA6FcCpCGtlpsijqmhOTdsvrr41XSTiXyEMca2O-Qiu, South Africa, 1, Mkhwebane has no power to instruct Zuma over commission - Semenya - Independent Online, ZA, 2017-10-24T11:05:07Z, iol.co.za, -0.392351, Separation of powers, 0.952005
 6M6Mkj9UOR2Wmf8_Z-uhORA6FcCpCGtlpsijqmhOTdsvrr41XSTiXyEMca2O-Qiu, South Africa, 1, Mkhwebane has no power to instruct Zuma over commission - Semenya - Independent Online, ZA, 2017-10-24T11:05:07Z, iol.co.za, -0.392351, Judiciary, 0.812233
 6M6Mkj9UOR2Wmf8_Z-uhORA6FcCpCGtlpsijqmhOTdsvrr41XSTiXyEMca2O-Qiu, South Africa, 1, Mkhwebane has no power to instruct Zuma over commission - Semenya - Independent Online, ZA, 2017-10-24T11:05:07Z, iol.co.za, -0.392351, Executive, 0.774326
 6M6Mkj9UOR2Wmf8_Z-uhORA6FcCpCGtlpsijqmhOTdsvrr41XSTiXyEMca2O-Qiu, South Africa, 1, Mkhwebane has no power to instruct Zuma over commission - Semenya - Independent Online, ZA, 2017-10-24T11:05:07Z, iol.co.za, -0.392351, Judicial review, 0.769819
 6M6Mkj9UOR2Wmf8_Z-uhORA6FcCpCGtlpsijqmhOTdsvrr41XSTiXyEMca2O-Qiu, South Africa, 1, Mkhwebane has no power to instruct Zuma over commission - Semenya - Independent Online, ZA, 2017-10-24T11:05:07Z, iol.co.za, -0.392351, Jacob Zuma, 0.71736
 6M6Mkj9UOR2Wmf8_Z-uhORA6FcCpCGtlpsijqmhOTdsvrr41XSTiXyEMca2O-Qiu, South Africa, 1, Mkhwebane has no power to instruct Zuma over commission - Semenya - Independent Online, ZA, 2017-10-24T11:05:07Z, iol.co.za, -0.392351, Legislature, 0.64801
 6M6Mkj9UOR2Wmf8_Z-uhORA6FcCpCGtlpsijqmhOTdsvrr41XSTiXyEMca2O-Qiu, South Africa, 1, Mkhwebane has no power to instruct Zuma over commission - Semenya - Independent Online, ZA, 2017-10-24T11:05:07Z, iol.co.za, -0.392351, Constitution, 0.642976
 6M6Mkj9UOR2Wmf8_Z-uhORA6FcCpCGtlpsijqmhOTdsvrr41XSTiXyEMca2O-Qiu, South Africa, 1, Mkhwebane has no power to instruct Zuma over commission - Semenya - Independent Online, ZA, 2017-10-24T11:05:07Z, iol.co.za, -0.392351, European Parliament, 0.630592
 6M6Mkj9UOR2Wmf8_Z-uhORA6FcCpCGtlpsijqmhOTdsvrr41XSTiXyEMca2O-Qiu, South Africa, 1, Mkhwebane has no power to instruct Zuma over commission - Semenya - Independent Online, ZA, 2017-10-24T11:05:07Z, iol.co.za, -0.392351, Democracy, 0.603539
 6M6Mkj9UOR2Wmf8_Z-uhORA6FcCpCGtlpsijqmhOTdsvrr41XSTiXyEMca2O-Qiu, South Africa, 1, Mkhwebane has no power to instruct Zuma over commission - Semenya - Independent Online, ZA, 2017-10-24T11:05:07Z, iol.co.za, -0.392351, Supreme Court of the United States, 0.600478
 6M6Mkj9UOR2Wmf8_Z-uhORA6FcCpCGtlpsijqmhOTdsvrr41XSTiXyEMca2O-Qiu, South Africa, 1, Mkhwebane has no power to instruct Zuma over commission - Semenya - Independent Online, ZA, 2017-10-24T11:05:07Z, iol.co.za, -0.392351, Australia, 0.56332
 6M6Mkj9UOR2Wmf8_Z-uhORA6FcCpCGtlpsijqmhOTdsvrr41XSTiXyEMca2O-Qiu, South Africa, 1, Mkhwebane has no power to instruct Zuma over commission - Semenya - Independent Online, ZA, 2017-10-24T11:05:07Z, iol.co.za, -0.392351, Judge, 0.551126
 6M6Mkj9UOR2Wmf8_Z-uhORA6FcCpCGtlpsijqmhOTdsvrr41XSTiXyEMca2O-Qiu, South Africa, 1, Mkhwebane has no power to instruct Zuma over commission - Semenya - Independent Online, ZA, 2017-10-24T11:05:07Z, iol.co.za, -0.392351, Parliament, 0.543417
 6M6Mkj9UOR2Wmf8_Z-uhORA6FcCpCGtlpsijqmhOTdsvrr41XSTiXyEMca2O-Qiu, South Africa, 1, Mkhwebane has no power to instruct Zuma over commission - Semenya - Independent Online, ZA, 2017-10-24T11:05:07Z, iol.co.za, -0.392351, South Africa, 0.530727
 6M6Mkj9UOR2Wmf8_Z-uhORA6FcCpCGtlpsijqmhOTdsvrr41XSTiXyEMca2O-Qiu, South Africa, 1, Mkhwebane has no power to instruct Zuma over commission - Semenya - Independent Online, ZA, 2017-10-24T11:05:07Z, iol.co.za, -0.392351, President of the United States, 0.512333
 dMzqxc5Fys0_JjS5Ybb9XGy_wUvxEZyNeYC4j1oHostaACak4VdHW0u4j-TVNTnb, South Africa, 1, Crime stats: Rape and murder up, ZA, 2017-10-24T10:46:56Z, rekordeast.co.za, -0.723946, Crime, 0.952716
 dMzqxc5Fys0_JjS5Ybb9XGy_wUvxEZyNeYC4j1oHostaACak4VdHW0u4j-TVNTnb, South Africa, 1, Crime stats: Rape and murder up, ZA, 2017-10-24T10:46:56Z, rekordeast.co.za, -0.723946, South Africa, 0.862341
 dMzqxc5Fys0_JjS5Ybb9XGy_wUvxEZyNeYC4j1oHostaACak4VdHW0u4j-TVNTnb, South Africa, 1, Crime stats: Rape and murder up, ZA, 2017-10-24T10:46:56Z, rekordeast.co.za, -0.723946, Crimes, 0.669145
