id, key, score, title, country, crawl_date, host, sentiment_score, concept, concept_relevance,
 mvvAwbJNqetbG0PO1YfJT-PXNH2P5n3vhcuNXNjOgVZZFONJIH9Ofw483MeGnaHD, United States, 1, Pak outclass South Korea to finish 3rd, IN, 2017-10-24T00:54:37Z, freepressjournal.in, 0.448359, South Korea, 0.967344
 mvvAwbJNqetbG0PO1YfJT-PXNH2P5n3vhcuNXNjOgVZZFONJIH9Ofw483MeGnaHD, United States, 1, Pak outclass South Korea to finish 3rd, IN, 2017-10-24T00:54:37Z, freepressjournal.in, 0.448359, Korean language, 0.891896
 mvvAwbJNqetbG0PO1YfJT-PXNH2P5n3vhcuNXNjOgVZZFONJIH9Ofw483MeGnaHD, United States, 1, Pak outclass South Korea to finish 3rd, IN, 2017-10-24T00:54:37Z, freepressjournal.in, 0.448359, Koreans, 0.864274
 mvvAwbJNqetbG0PO1YfJT-PXNH2P5n3vhcuNXNjOgVZZFONJIH9Ofw483MeGnaHD, United States, 1, Pak outclass South Korea to finish 3rd, IN, 2017-10-24T00:54:37Z, freepressjournal.in, 0.448359, Lee Myung-bak, 0.712435
 mvvAwbJNqetbG0PO1YfJT-PXNH2P5n3vhcuNXNjOgVZZFONJIH9Ofw483MeGnaHD, United States, 1, Pak outclass South Korea to finish 3rd, IN, 2017-10-24T00:54:37Z, freepressjournal.in, 0.448359, Division of Korea, 0.704872
 mvvAwbJNqetbG0PO1YfJT-PXNH2P5n3vhcuNXNjOgVZZFONJIH9Ofw483MeGnaHD, United States, 1, Pak outclass South Korea to finish 3rd, IN, 2017-10-24T00:54:37Z, freepressjournal.in, 0.448359, Korea, 0.699347
 mvvAwbJNqetbG0PO1YfJT-PXNH2P5n3vhcuNXNjOgVZZFONJIH9Ofw483MeGnaHD, United States, 1, Pak outclass South Korea to finish 3rd, IN, 2017-10-24T00:54:37Z, freepressjournal.in, 0.448359, Kim Il-sung, 0.684822
 mvvAwbJNqetbG0PO1YfJT-PXNH2P5n3vhcuNXNjOgVZZFONJIH9Ofw483MeGnaHD, United States, 1, Pak outclass South Korea to finish 3rd, IN, 2017-10-24T00:54:37Z, freepressjournal.in, 0.448359, Korean War, 0.668103
 mvvAwbJNqetbG0PO1YfJT-PXNH2P5n3vhcuNXNjOgVZZFONJIH9Ofw483MeGnaHD, United States, 1, Pak outclass South Korea to finish 3rd, IN, 2017-10-24T00:54:37Z, freepressjournal.in, 0.448359, Korean Peninsula, 0.662511
 mvvAwbJNqetbG0PO1YfJT-PXNH2P5n3vhcuNXNjOgVZZFONJIH9Ofw483MeGnaHD, United States, 1, Pak outclass South Korea to finish 3rd, IN, 2017-10-24T00:54:37Z, freepressjournal.in, 0.448359, Koreans in China, 0.654537
 mvvAwbJNqetbG0PO1YfJT-PXNH2P5n3vhcuNXNjOgVZZFONJIH9Ofw483MeGnaHD, United States, 1, Pak outclass South Korea to finish 3rd, IN, 2017-10-24T00:54:37Z, freepressjournal.in, 0.448359, North Korea, 0.617841
