id, key, score, title, country, crawl_date, host, sentiment_score, concept, concept_relevance,
 ZAUyDvDIq8t24eKZUcBgkHjleyKuT_dZGhkzevnLyhY9ANPFlWkcMQ7NjBmPI_vw, English-language films, 1, Cheryl celebrates 15 ‘amazing’ years in the music industry, GB, 2017-10-24T00:45:43Z, wimbledonguardian.co.uk, 0.577726, The X Factor, 0.966405
 ZAUyDvDIq8t24eKZUcBgkHjleyKuT_dZGhkzevnLyhY9ANPFlWkcMQ7NjBmPI_vw, English-language films, 1, Cheryl celebrates 15 ‘amazing’ years in the music industry, GB, 2017-10-24T00:45:43Z, wimbledonguardian.co.uk, 0.577726, Reality television, 0.924489
 ZAUyDvDIq8t24eKZUcBgkHjleyKuT_dZGhkzevnLyhY9ANPFlWkcMQ7NjBmPI_vw, English-language films, 1, Cheryl celebrates 15 ‘amazing’ years in the music industry, GB, 2017-10-24T00:45:43Z, wimbledonguardian.co.uk, 0.577726, English-language films, 0.895898
 ZAUyDvDIq8t24eKZUcBgkHjleyKuT_dZGhkzevnLyhY9ANPFlWkcMQ7NjBmPI_vw, English-language films, 1, Cheryl celebrates 15 ‘amazing’ years in the music industry, GB, 2017-10-24T00:45:43Z, wimbledonguardian.co.uk, 0.577726, Girls Aloud, 0.84324
 ZAUyDvDIq8t24eKZUcBgkHjleyKuT_dZGhkzevnLyhY9ANPFlWkcMQ7NjBmPI_vw, English-language films, 1, Cheryl celebrates 15 ‘amazing’ years in the music industry, GB, 2017-10-24T00:45:43Z, wimbledonguardian.co.uk, 0.577726, Popstars, 0.841483
 ZAUyDvDIq8t24eKZUcBgkHjleyKuT_dZGhkzevnLyhY9ANPFlWkcMQ7NjBmPI_vw, English-language films, 1, Cheryl celebrates 15 ‘amazing’ years in the music industry, GB, 2017-10-24T00:45:43Z, wimbledonguardian.co.uk, 0.577726, Popstars The Rivals, 0.734272
 ZAUyDvDIq8t24eKZUcBgkHjleyKuT_dZGhkzevnLyhY9ANPFlWkcMQ7NjBmPI_vw, English-language films, 1, Cheryl celebrates 15 ‘amazing’ years in the music industry, GB, 2017-10-24T00:45:43Z, wimbledonguardian.co.uk, 0.577726, Sugababes, 0.704847
 ZAUyDvDIq8t24eKZUcBgkHjleyKuT_dZGhkzevnLyhY9ANPFlWkcMQ7NjBmPI_vw, English-language films, 1, Cheryl celebrates 15 ‘amazing’ years in the music industry, GB, 2017-10-24T00:45:43Z, wimbledonguardian.co.uk, 0.577726, Television program, 0.675289
 ZAUyDvDIq8t24eKZUcBgkHjleyKuT_dZGhkzevnLyhY9ANPFlWkcMQ7NjBmPI_vw, English-language films, 1, Cheryl celebrates 15 ‘amazing’ years in the music industry, GB, 2017-10-24T00:45:43Z, wimbledonguardian.co.uk, 0.577726, Television, 0.670533
 ZAUyDvDIq8t24eKZUcBgkHjleyKuT_dZGhkzevnLyhY9ANPFlWkcMQ7NjBmPI_vw, English-language films, 1, Cheryl celebrates 15 ‘amazing’ years in the music industry, GB, 2017-10-24T00:45:43Z, wimbledonguardian.co.uk, 0.577726, Cheryl Cole, 0.644575
 ZAUyDvDIq8t24eKZUcBgkHjleyKuT_dZGhkzevnLyhY9ANPFlWkcMQ7NjBmPI_vw, English-language films, 1, Cheryl celebrates 15 ‘amazing’ years in the music industry, GB, 2017-10-24T00:45:43Z, wimbledonguardian.co.uk, 0.577726, Sound of the Underground, 0.637763
 ZAUyDvDIq8t24eKZUcBgkHjleyKuT_dZGhkzevnLyhY9ANPFlWkcMQ7NjBmPI_vw, English-language films, 1, Cheryl celebrates 15 ‘amazing’ years in the music industry, GB, 2017-10-24T00:45:43Z, wimbledonguardian.co.uk, 0.577726, Sarah Harding, 0.625495
 ZAUyDvDIq8t24eKZUcBgkHjleyKuT_dZGhkzevnLyhY9ANPFlWkcMQ7NjBmPI_vw, English-language films, 1, Cheryl celebrates 15 ‘amazing’ years in the music industry, GB, 2017-10-24T00:45:43Z, wimbledonguardian.co.uk, 0.577726, 2001 albums, 0.611122
 ZAUyDvDIq8t24eKZUcBgkHjleyKuT_dZGhkzevnLyhY9ANPFlWkcMQ7NjBmPI_vw, English-language films, 1, Cheryl celebrates 15 ‘amazing’ years in the music industry, GB, 2017-10-24T00:45:43Z, wimbledonguardian.co.uk, 0.577726, Reality television series, 0.593175
 ZAUyDvDIq8t24eKZUcBgkHjleyKuT_dZGhkzevnLyhY9ANPFlWkcMQ7NjBmPI_vw, English-language films, 1, Cheryl celebrates 15 ‘amazing’ years in the music industry, GB, 2017-10-24T00:45:43Z, wimbledonguardian.co.uk, 0.577726, The X Factor, 0.559076
 ZAUyDvDIq8t24eKZUcBgkHjleyKuT_dZGhkzevnLyhY9ANPFlWkcMQ7NjBmPI_vw, English-language films, 1, Cheryl celebrates 15 ‘amazing’ years in the music industry, GB, 2017-10-24T00:45:43Z, wimbledonguardian.co.uk, 0.577726, Billboard Hot Dance Club Songs number-one singles, 0.538074
 ZAUyDvDIq8t24eKZUcBgkHjleyKuT_dZGhkzevnLyhY9ANPFlWkcMQ7NjBmPI_vw, English-language films, 1, Cheryl celebrates 15 ‘amazing’ years in the music industry, GB, 2017-10-24T00:45:43Z, wimbledonguardian.co.uk, 0.577726, America's Next Top Model, 0.53107
 ZAUyDvDIq8t24eKZUcBgkHjleyKuT_dZGhkzevnLyhY9ANPFlWkcMQ7NjBmPI_vw, English-language films, 1, Cheryl celebrates 15 ‘amazing’ years in the music industry, GB, 2017-10-24T00:45:43Z, wimbledonguardian.co.uk, 0.577726, 1995 albums, 0.52723
 ZAUyDvDIq8t24eKZUcBgkHjleyKuT_dZGhkzevnLyhY9ANPFlWkcMQ7NjBmPI_vw, English-language films, 1, Cheryl celebrates 15 ‘amazing’ years in the music industry, GB, 2017-10-24T00:45:43Z, wimbledonguardian.co.uk, 0.577726, Form of the Good, 0.518631
 ZAUyDvDIq8t24eKZUcBgkHjleyKuT_dZGhkzevnLyhY9ANPFlWkcMQ7NjBmPI_vw, English-language films, 1, Cheryl celebrates 15 ‘amazing’ years in the music industry, GB, 2017-10-24T00:45:43Z, wimbledonguardian.co.uk, 0.577726, Experience, 0.516329
 ZAUyDvDIq8t24eKZUcBgkHjleyKuT_dZGhkzevnLyhY9ANPFlWkcMQ7NjBmPI_vw, English-language films, 1, Cheryl celebrates 15 ‘amazing’ years in the music industry, GB, 2017-10-24T00:45:43Z, wimbledonguardian.co.uk, 0.577726, Learning, 0.509698
 ZAUyDvDIq8t24eKZUcBgkHjleyKuT_dZGhkzevnLyhY9ANPFlWkcMQ7NjBmPI_vw, English-language films, 1, Cheryl celebrates 15 ‘amazing’ years in the music industry, GB, 2017-10-24T00:45:43Z, wimbledonguardian.co.uk, 0.577726, Change, 0.497068
 ZAUyDvDIq8t24eKZUcBgkHjleyKuT_dZGhkzevnLyhY9ANPFlWkcMQ7NjBmPI_vw, English-language films, 1, Cheryl celebrates 15 ‘amazing’ years in the music industry, GB, 2017-10-24T00:45:43Z, wimbledonguardian.co.uk, 0.577726, Bad, 0.496903
 mMCUKQYYpwPU9GlvhgdszFzikeRPxyBXn2T7r4p6_optdqHMkyvp4A-sGA_cCDHU, English-language films, 1, Sainz Jr. enthused by Renault debut points, GB, 2017-10-24T00:45:43Z, gpupdate.net, 0.984487, English-language films, 0.92686
 mMCUKQYYpwPU9GlvhgdszFzikeRPxyBXn2T7r4p6_optdqHMkyvp4A-sGA_cCDHU, English-language films, 1, Sainz Jr. enthused by Renault debut points, GB, 2017-10-24T00:45:43Z, gpupdate.net, 0.984487, Carlos Sainz, 0.892281
 mMCUKQYYpwPU9GlvhgdszFzikeRPxyBXn2T7r4p6_optdqHMkyvp4A-sGA_cCDHU, English-language films, 1, Sainz Jr. enthused by Renault debut points, GB, 2017-10-24T00:45:43Z, gpupdate.net, 0.984487, United States, 0.717529
 mMCUKQYYpwPU9GlvhgdszFzikeRPxyBXn2T7r4p6_optdqHMkyvp4A-sGA_cCDHU, English-language films, 1, Sainz Jr. enthused by Renault debut points, GB, 2017-10-24T00:45:43Z, gpupdate.net, 0.984487, Formula One, 0.690727
 mMCUKQYYpwPU9GlvhgdszFzikeRPxyBXn2T7r4p6_optdqHMkyvp4A-sGA_cCDHU, English-language films, 1, Sainz Jr. enthused by Renault debut points, GB, 2017-10-24T00:45:43Z, gpupdate.net, 0.984487, Smoothing, 0.610542
