id, key, score, title, country, crawl_date, host, sentiment_score, concept, concept_relevance,
 E0vBdUSS_ocpTBUA_e242NVoJBupu2KiVCOo0ahpuRqCfL2tCoU5lXCq40oMK_Jt, United States, 1, GAO: Climate change already costing US billions in losses, US, 2017-10-24T01:16:35Z, wxow.com, -0.570387, Fossil fuel, 0.986748
 E0vBdUSS_ocpTBUA_e242NVoJBupu2KiVCOo0ahpuRqCfL2tCoU5lXCq40oMK_Jt, United States, 1, GAO: Climate change already costing US billions in losses, US, 2017-10-24T01:16:35Z, wxow.com, -0.570387, Greenhouse gas, 0.890812
 E0vBdUSS_ocpTBUA_e242NVoJBupu2KiVCOo0ahpuRqCfL2tCoU5lXCq40oMK_Jt, United States, 1, GAO: Climate change already costing US billions in losses, US, 2017-10-24T01:16:35Z, wxow.com, -0.570387, Associated Press, 0.881586
 E0vBdUSS_ocpTBUA_e242NVoJBupu2KiVCOo0ahpuRqCfL2tCoU5lXCq40oMK_Jt, United States, 1, GAO: Climate change already costing US billions in losses, US, 2017-10-24T01:16:35Z, wxow.com, -0.570387, Government Accountability Office, 0.88065
 E0vBdUSS_ocpTBUA_e242NVoJBupu2KiVCOo0ahpuRqCfL2tCoU5lXCq40oMK_Jt, United States, 1, GAO: Climate change already costing US billions in losses, US, 2017-10-24T01:16:35Z, wxow.com, -0.570387, Maria Cantwell, 0.781898
 E0vBdUSS_ocpTBUA_e242NVoJBupu2KiVCOo0ahpuRqCfL2tCoU5lXCq40oMK_Jt, United States, 1, GAO: Climate change already costing US billions in losses, US, 2017-10-24T01:16:35Z, wxow.com, -0.570387, Federal government of the United States, 0.769718
 E0vBdUSS_ocpTBUA_e242NVoJBupu2KiVCOo0ahpuRqCfL2tCoU5lXCq40oMK_Jt, United States, 1, GAO: Climate change already costing US billions in losses, US, 2017-10-24T01:16:35Z, wxow.com, -0.570387, Climate change, 0.76509
 E0vBdUSS_ocpTBUA_e242NVoJBupu2KiVCOo0ahpuRqCfL2tCoU5lXCq40oMK_Jt, United States, 1, GAO: Climate change already costing US billions in losses, US, 2017-10-24T01:16:35Z, wxow.com, -0.570387, United States, 0.724761
 E0vBdUSS_ocpTBUA_e242NVoJBupu2KiVCOo0ahpuRqCfL2tCoU5lXCq40oMK_Jt, United States, 1, GAO: Climate change already costing US billions in losses, US, 2017-10-24T01:16:35Z, wxow.com, -0.570387, President of the United States, 0.718594
 E0vBdUSS_ocpTBUA_e242NVoJBupu2KiVCOo0ahpuRqCfL2tCoU5lXCq40oMK_Jt, United States, 1, GAO: Climate change already costing US billions in losses, US, 2017-10-24T01:16:35Z, wxow.com, -0.570387, Scientific opinion on climate change, 0.643107
 E0vBdUSS_ocpTBUA_e242NVoJBupu2KiVCOo0ahpuRqCfL2tCoU5lXCq40oMK_Jt, United States, 1, GAO: Climate change already costing US billions in losses, US, 2017-10-24T01:16:35Z, wxow.com, -0.570387, Global warming, 0.626517
 E0vBdUSS_ocpTBUA_e242NVoJBupu2KiVCOo0ahpuRqCfL2tCoU5lXCq40oMK_Jt, United States, 1, GAO: Climate change already costing US billions in losses, US, 2017-10-24T01:16:35Z, wxow.com, -0.570387, Donald Trump, 0.592863
 E0vBdUSS_ocpTBUA_e242NVoJBupu2KiVCOo0ahpuRqCfL2tCoU5lXCq40oMK_Jt, United States, 1, GAO: Climate change already costing US billions in losses, US, 2017-10-24T01:16:35Z, wxow.com, -0.570387, Federal government, 0.571651
 E0vBdUSS_ocpTBUA_e242NVoJBupu2KiVCOo0ahpuRqCfL2tCoU5lXCq40oMK_Jt, United States, 1, GAO: Climate change already costing US billions in losses, US, 2017-10-24T01:16:35Z, wxow.com, -0.570387, Washington  D.C., 0.569217
 E0vBdUSS_ocpTBUA_e242NVoJBupu2KiVCOo0ahpuRqCfL2tCoU5lXCq40oMK_Jt, United States, 1, GAO: Climate change already costing US billions in losses, US, 2017-10-24T01:16:35Z, wxow.com, -0.570387, Effects of global warming, 0.539935
 E0vBdUSS_ocpTBUA_e242NVoJBupu2KiVCOo0ahpuRqCfL2tCoU5lXCq40oMK_Jt, United States, 1, GAO: Climate change already costing US billions in losses, US, 2017-10-24T01:16:35Z, wxow.com, -0.570387, U.S. state, 0.523749
 E0vBdUSS_ocpTBUA_e242NVoJBupu2KiVCOo0ahpuRqCfL2tCoU5lXCq40oMK_Jt, United States, 1, GAO: Climate change already costing US billions in losses, US, 2017-10-24T01:16:35Z, wxow.com, -0.570387, Washington, 0.523296
 E0vBdUSS_ocpTBUA_e242NVoJBupu2KiVCOo0ahpuRqCfL2tCoU5lXCq40oMK_Jt, United States, 1, GAO: Climate change already costing US billions in losses, US, 2017-10-24T01:16:35Z, wxow.com, -0.570387, Weather, 0.519663
 E0vBdUSS_ocpTBUA_e242NVoJBupu2KiVCOo0ahpuRqCfL2tCoU5lXCq40oMK_Jt, United States, 1, GAO: Climate change already costing US billions in losses, US, 2017-10-24T01:16:35Z, wxow.com, -0.570387, Carbon dioxide, 0.518935
 E0vBdUSS_ocpTBUA_e242NVoJBupu2KiVCOo0ahpuRqCfL2tCoU5lXCq40oMK_Jt, United States, 1, GAO: Climate change already costing US billions in losses, US, 2017-10-24T01:16:35Z, wxow.com, -0.570387, Cost, 0.516146
 E0vBdUSS_ocpTBUA_e242NVoJBupu2KiVCOo0ahpuRqCfL2tCoU5lXCq40oMK_Jt, United States, 1, GAO: Climate change already costing US billions in losses, US, 2017-10-24T01:16:35Z, wxow.com, -0.570387, Federalism, 0.509255
 E0vBdUSS_ocpTBUA_e242NVoJBupu2KiVCOo0ahpuRqCfL2tCoU5lXCq40oMK_Jt, United States, 1, GAO: Climate change already costing US billions in losses, US, 2017-10-24T01:16:35Z, wxow.com, -0.570387, Federal, 0.50793
 E0vBdUSS_ocpTBUA_e242NVoJBupu2KiVCOo0ahpuRqCfL2tCoU5lXCq40oMK_Jt, United States, 1, GAO: Climate change already costing US billions in losses, US, 2017-10-24T01:16:35Z, wxow.com, -0.570387, Santa Rosa  California, 0.50688
 E0vBdUSS_ocpTBUA_e242NVoJBupu2KiVCOo0ahpuRqCfL2tCoU5lXCq40oMK_Jt, United States, 1, GAO: Climate change already costing US billions in losses, US, 2017-10-24T01:16:35Z, wxow.com, -0.570387, Federal Aviation Administration, 0.505164
 E0vBdUSS_ocpTBUA_e242NVoJBupu2KiVCOo0ahpuRqCfL2tCoU5lXCq40oMK_Jt, United States, 1, GAO: Climate change already costing US billions in losses, US, 2017-10-24T01:16:35Z, wxow.com, -0.570387, United States federal budget, 0.504649
 E0vBdUSS_ocpTBUA_e242NVoJBupu2KiVCOo0ahpuRqCfL2tCoU5lXCq40oMK_Jt, United States, 1, GAO: Climate change already costing US billions in losses, US, 2017-10-24T01:16:35Z, wxow.com, -0.570387, Internal combustion engine, 0.501319
 E0vBdUSS_ocpTBUA_e242NVoJBupu2KiVCOo0ahpuRqCfL2tCoU5lXCq40oMK_Jt, United States, 1, GAO: Climate change already costing US billions in losses, US, 2017-10-24T01:16:35Z, wxow.com, -0.570387, United States Environmental Protection Agency, 0.498957
 E0vBdUSS_ocpTBUA_e242NVoJBupu2KiVCOo0ahpuRqCfL2tCoU5lXCq40oMK_Jt, United States, 1, GAO: Climate change already costing US billions in losses, US, 2017-10-24T01:16:35Z, wxow.com, -0.570387, Puerto Rico, 0.498149
 E0vBdUSS_ocpTBUA_e242NVoJBupu2KiVCOo0ahpuRqCfL2tCoU5lXCq40oMK_Jt, United States, 1, GAO: Climate change already costing US billions in losses, US, 2017-10-24T01:16:35Z, wxow.com, -0.570387, Climate, 0.487606
