id, key, score, title, country, crawl_date, host, sentiment_score, concept, concept_relevance,
 1pSBnCRZy8rIkXJJjLL12Kgrl2-Z-Q9F-34zcCsVC6OEc98mQK6Y6LuuH7Lm1i_g, Australia, 1, Opportunities for a new era in manufacturing, AU, 2017-10-24T04:30:14Z, ferret.com.au, 0.821967, Industry, 0.959091
 1pSBnCRZy8rIkXJJjLL12Kgrl2-Z-Q9F-34zcCsVC6OEc98mQK6Y6LuuH7Lm1i_g, Australia, 1, Opportunities for a new era in manufacturing, AU, 2017-10-24T04:30:14Z, ferret.com.au, 0.821967, Innovation, 0.66059
 1pSBnCRZy8rIkXJJjLL12Kgrl2-Z-Q9F-34zcCsVC6OEc98mQK6Y6LuuH7Lm1i_g, Australia, 1, Opportunities for a new era in manufacturing, AU, 2017-10-24T04:30:14Z, ferret.com.au, 0.821967, Manufacturing, 0.640601
 1pSBnCRZy8rIkXJJjLL12Kgrl2-Z-Q9F-34zcCsVC6OEc98mQK6Y6LuuH7Lm1i_g, Australia, 1, Opportunities for a new era in manufacturing, AU, 2017-10-24T04:30:14Z, ferret.com.au, 0.821967, Australia, 0.571431
 1pSBnCRZy8rIkXJJjLL12Kgrl2-Z-Q9F-34zcCsVC6OEc98mQK6Y6LuuH7Lm1i_g, Australia, 1, Opportunities for a new era in manufacturing, AU, 2017-10-24T04:30:14Z, ferret.com.au, 0.821967, Research and development, 0.564151
 1pSBnCRZy8rIkXJJjLL12Kgrl2-Z-Q9F-34zcCsVC6OEc98mQK6Y6LuuH7Lm1i_g, Australia, 1, Opportunities for a new era in manufacturing, AU, 2017-10-24T04:30:14Z, ferret.com.au, 0.821967, Economy of Australia, 0.525284
 1pSBnCRZy8rIkXJJjLL12Kgrl2-Z-Q9F-34zcCsVC6OEc98mQK6Y6LuuH7Lm1i_g, Australia, 1, Opportunities for a new era in manufacturing, AU, 2017-10-24T04:30:14Z, ferret.com.au, 0.821967, Investment, 0.4935
 1pSBnCRZy8rIkXJJjLL12Kgrl2-Z-Q9F-34zcCsVC6OEc98mQK6Y6LuuH7Lm1i_g, Australia, 1, Opportunities for a new era in manufacturing, AU, 2017-10-24T04:30:14Z, ferret.com.au, 0.821967, Research, 0.471306
 1pSBnCRZy8rIkXJJjLL12Kgrl2-Z-Q9F-34zcCsVC6OEc98mQK6Y6LuuH7Lm1i_g, Australia, 1, Opportunities for a new era in manufacturing, AU, 2017-10-24T04:30:14Z, ferret.com.au, 0.821967, Federal government of the United States, 0.458174
 1pSBnCRZy8rIkXJJjLL12Kgrl2-Z-Q9F-34zcCsVC6OEc98mQK6Y6LuuH7Lm1i_g, Australia, 1, Opportunities for a new era in manufacturing, AU, 2017-10-24T04:30:14Z, ferret.com.au, 0.821967, Capitalism, 0.398372
 1pSBnCRZy8rIkXJJjLL12Kgrl2-Z-Q9F-34zcCsVC6OEc98mQK6Y6LuuH7Lm1i_g, Australia, 1, Opportunities for a new era in manufacturing, AU, 2017-10-24T04:30:14Z, ferret.com.au, 0.821967, Economics, 0.377975
 1pSBnCRZy8rIkXJJjLL12Kgrl2-Z-Q9F-34zcCsVC6OEc98mQK6Y6LuuH7Lm1i_g, Australia, 1, Opportunities for a new era in manufacturing, AU, 2017-10-24T04:30:14Z, ferret.com.au, 0.821967, A New Era, 0.3738
 1pSBnCRZy8rIkXJJjLL12Kgrl2-Z-Q9F-34zcCsVC6OEc98mQK6Y6LuuH7Lm1i_g, Australia, 1, Opportunities for a new era in manufacturing, AU, 2017-10-24T04:30:14Z, ferret.com.au, 0.821967, The Honourable, 0.371477
 1pSBnCRZy8rIkXJJjLL12Kgrl2-Z-Q9F-34zcCsVC6OEc98mQK6Y6LuuH7Lm1i_g, Australia, 1, Opportunities for a new era in manufacturing, AU, 2017-10-24T04:30:14Z, ferret.com.au, 0.821967, Government, 0.371368
 1pSBnCRZy8rIkXJJjLL12Kgrl2-Z-Q9F-34zcCsVC6OEc98mQK6Y6LuuH7Lm1i_g, Australia, 1, Opportunities for a new era in manufacturing, AU, 2017-10-24T04:30:14Z, ferret.com.au, 0.821967, Value investing, 0.370697
 1pSBnCRZy8rIkXJJjLL12Kgrl2-Z-Q9F-34zcCsVC6OEc98mQK6Y6LuuH7Lm1i_g, Australia, 1, Opportunities for a new era in manufacturing, AU, 2017-10-24T04:30:14Z, ferret.com.au, 0.821967, Western Australia, 0.368334
 1pSBnCRZy8rIkXJJjLL12Kgrl2-Z-Q9F-34zcCsVC6OEc98mQK6Y6LuuH7Lm1i_g, Australia, 1, Opportunities for a new era in manufacturing, AU, 2017-10-24T04:30:14Z, ferret.com.au, 0.821967, Patent, 0.360395
 1pSBnCRZy8rIkXJJjLL12Kgrl2-Z-Q9F-34zcCsVC6OEc98mQK6Y6LuuH7Lm1i_g, Australia, 1, Opportunities for a new era in manufacturing, AU, 2017-10-24T04:30:14Z, ferret.com.au, 0.821967, Federalism, 0.359688
 1pSBnCRZy8rIkXJJjLL12Kgrl2-Z-Q9F-34zcCsVC6OEc98mQK6Y6LuuH7Lm1i_g, Australia, 1, Opportunities for a new era in manufacturing, AU, 2017-10-24T04:30:14Z, ferret.com.au, 0.821967, Economic growth, 0.35809
 1pSBnCRZy8rIkXJJjLL12Kgrl2-Z-Q9F-34zcCsVC6OEc98mQK6Y6LuuH7Lm1i_g, Australia, 1, Opportunities for a new era in manufacturing, AU, 2017-10-24T04:30:14Z, ferret.com.au, 0.821967, Strategic management, 0.351968
 1pSBnCRZy8rIkXJJjLL12Kgrl2-Z-Q9F-34zcCsVC6OEc98mQK6Y6LuuH7Lm1i_g, Australia, 1, Opportunities for a new era in manufacturing, AU, 2017-10-24T04:30:14Z, ferret.com.au, 0.821967, Economy, 0.346008
 1pSBnCRZy8rIkXJJjLL12Kgrl2-Z-Q9F-34zcCsVC6OEc98mQK6Y6LuuH7Lm1i_g, Australia, 1, Opportunities for a new era in manufacturing, AU, 2017-10-24T04:30:14Z, ferret.com.au, 0.821967, Buffalo  New York, 0.3402
 TsLDSe1lMKXVsfNtSmJ54HVHUGp1jA8S2jVlrpwB0hX1FKKpUUCavYfTN72dzHy9, Australia, 1, Exhibitions a driver for growth and global trade, AU, 2017-10-24T02:51:09Z, cimmagazine.com, 0.29233, International trade, 0.988775
 TsLDSe1lMKXVsfNtSmJ54HVHUGp1jA8S2jVlrpwB0hX1FKKpUUCavYfTN72dzHy9, Australia, 1, Exhibitions a driver for growth and global trade, AU, 2017-10-24T02:51:09Z, cimmagazine.com, 0.29233, Globalization, 0.812378
 TsLDSe1lMKXVsfNtSmJ54HVHUGp1jA8S2jVlrpwB0hX1FKKpUUCavYfTN72dzHy9, Australia, 1, Exhibitions a driver for growth and global trade, AU, 2017-10-24T02:51:09Z, cimmagazine.com, 0.29233, Export, 0.718516
 TsLDSe1lMKXVsfNtSmJ54HVHUGp1jA8S2jVlrpwB0hX1FKKpUUCavYfTN72dzHy9, Australia, 1, Exhibitions a driver for growth and global trade, AU, 2017-10-24T02:51:09Z, cimmagazine.com, 0.29233, Trade, 0.606407
 TsLDSe1lMKXVsfNtSmJ54HVHUGp1jA8S2jVlrpwB0hX1FKKpUUCavYfTN72dzHy9, Australia, 1, Exhibitions a driver for growth and global trade, AU, 2017-10-24T02:51:09Z, cimmagazine.com, 0.29233, International business, 0.496897
 TsLDSe1lMKXVsfNtSmJ54HVHUGp1jA8S2jVlrpwB0hX1FKKpUUCavYfTN72dzHy9, Australia, 1, Exhibitions a driver for growth and global trade, AU, 2017-10-24T02:51:09Z, cimmagazine.com, 0.29233, Economics, 0.471309
 TsLDSe1lMKXVsfNtSmJ54HVHUGp1jA8S2jVlrpwB0hX1FKKpUUCavYfTN72dzHy9, Australia, 1, Exhibitions a driver for growth and global trade, AU, 2017-10-24T02:51:09Z, cimmagazine.com, 0.29233, Australia, 0.463375
 TsLDSe1lMKXVsfNtSmJ54HVHUGp1jA8S2jVlrpwB0hX1FKKpUUCavYfTN72dzHy9, Australia, 1, Exhibitions a driver for growth and global trade, AU, 2017-10-24T02:51:09Z, cimmagazine.com, 0.29233, Comparative advantage, 0.439479
 TsLDSe1lMKXVsfNtSmJ54HVHUGp1jA8S2jVlrpwB0hX1FKKpUUCavYfTN72dzHy9, Australia, 1, Exhibitions a driver for growth and global trade, AU, 2017-10-24T02:51:09Z, cimmagazine.com, 0.29233, Vermeer's Hat: The Seventeenth Century and the Dawn of the Global World, 0.415238
 TsLDSe1lMKXVsfNtSmJ54HVHUGp1jA8S2jVlrpwB0hX1FKKpUUCavYfTN72dzHy9, Australia, 1, Exhibitions a driver for growth and global trade, AU, 2017-10-24T02:51:09Z, cimmagazine.com, 0.29233, Exhibition, 0.39041
 TsLDSe1lMKXVsfNtSmJ54HVHUGp1jA8S2jVlrpwB0hX1FKKpUUCavYfTN72dzHy9, Australia, 1, Exhibitions a driver for growth and global trade, AU, 2017-10-24T02:51:09Z, cimmagazine.com, 0.29233, World Trade Organization, 0.389238
 TsLDSe1lMKXVsfNtSmJ54HVHUGp1jA8S2jVlrpwB0hX1FKKpUUCavYfTN72dzHy9, Australia, 1, Exhibitions a driver for growth and global trade, AU, 2017-10-24T02:51:09Z, cimmagazine.com, 0.29233, General Agreement on Tariffs and Trade, 0.386812
 TsLDSe1lMKXVsfNtSmJ54HVHUGp1jA8S2jVlrpwB0hX1FKKpUUCavYfTN72dzHy9, Australia, 1, Exhibitions a driver for growth and global trade, AU, 2017-10-24T02:51:09Z, cimmagazine.com, 0.29233, Economic growth, 0.378941
 TsLDSe1lMKXVsfNtSmJ54HVHUGp1jA8S2jVlrpwB0hX1FKKpUUCavYfTN72dzHy9, Australia, 1, Exhibitions a driver for growth and global trade, AU, 2017-10-24T02:51:09Z, cimmagazine.com, 0.29233, Opportunity rover, 0.369794
 ambvsxs1wggOEVA2CWLjyNrrxVAqSryG8AfCrzF_XvH1q-z65TY7oaa4pjk_QptR, Australia, 1, Power bills set to soar almost $2000 over next decade | Lismore Echo, AU, 2017-10-24T03:55:24Z, echonews.com.au, 0.318606, Australia, 0.963603
 ambvsxs1wggOEVA2CWLjyNrrxVAqSryG8AfCrzF_XvH1q-z65TY7oaa4pjk_QptR, Australia, 1, Power bills set to soar almost $2000 over next decade | Lismore Echo, AU, 2017-10-24T03:55:24Z, echonews.com.au, 0.318606, Electricity, 0.945068
 ambvsxs1wggOEVA2CWLjyNrrxVAqSryG8AfCrzF_XvH1q-z65TY7oaa4pjk_QptR, Australia, 1, Power bills set to soar almost $2000 over next decade | Lismore Echo, AU, 2017-10-24T03:55:24Z, echonews.com.au, 0.318606, Electricity generation, 0.937601
 ambvsxs1wggOEVA2CWLjyNrrxVAqSryG8AfCrzF_XvH1q-z65TY7oaa4pjk_QptR, Australia, 1, Power bills set to soar almost $2000 over next decade | Lismore Echo, AU, 2017-10-24T03:55:24Z, echonews.com.au, 0.318606, Federal government of the United States, 0.864722
 ambvsxs1wggOEVA2CWLjyNrrxVAqSryG8AfCrzF_XvH1q-z65TY7oaa4pjk_QptR, Australia, 1, Power bills set to soar almost $2000 over next decade | Lismore Echo, AU, 2017-10-24T03:55:24Z, echonews.com.au, 0.318606, Power station, 0.840231
 ambvsxs1wggOEVA2CWLjyNrrxVAqSryG8AfCrzF_XvH1q-z65TY7oaa4pjk_QptR, Australia, 1, Power bills set to soar almost $2000 over next decade | Lismore Echo, AU, 2017-10-24T03:55:24Z, echonews.com.au, 0.318606, Renewable energy, 0.754383
 ambvsxs1wggOEVA2CWLjyNrrxVAqSryG8AfCrzF_XvH1q-z65TY7oaa4pjk_QptR, Australia, 1, Power bills set to soar almost $2000 over next decade | Lismore Echo, AU, 2017-10-24T03:55:24Z, echonews.com.au, 0.318606, Coal-fired power station, 0.75256
