id, key, score, title, country, crawl_date, host, sentiment_score, concept, concept_relevance,
 ATsZS7pzty4cHvW5vCO4o2V0vUsVwyoH4oeWNERV7tD9bZNiR1mn7040cOiwds2q, Marketing, 1, Find the right influencer to boost your social media strategy, CO, 2017-10-24T04:25:07Z, bizpr.us, 0.777048, Social media, 0.917748
 ATsZS7pzty4cHvW5vCO4o2V0vUsVwyoH4oeWNERV7tD9bZNiR1mn7040cOiwds2q, Marketing, 1, Find the right influencer to boost your social media strategy, CO, 2017-10-24T04:25:07Z, bizpr.us, 0.777048, Social media marketing, 0.87699
 ATsZS7pzty4cHvW5vCO4o2V0vUsVwyoH4oeWNERV7tD9bZNiR1mn7040cOiwds2q, Marketing, 1, Find the right influencer to boost your social media strategy, CO, 2017-10-24T04:25:07Z, bizpr.us, 0.777048, Advertising, 0.797058
 ATsZS7pzty4cHvW5vCO4o2V0vUsVwyoH4oeWNERV7tD9bZNiR1mn7040cOiwds2q, Marketing, 1, Find the right influencer to boost your social media strategy, CO, 2017-10-24T04:25:07Z, bizpr.us, 0.777048, Entrepreneurship, 0.673095
 ATsZS7pzty4cHvW5vCO4o2V0vUsVwyoH4oeWNERV7tD9bZNiR1mn7040cOiwds2q, Marketing, 1, Find the right influencer to boost your social media strategy, CO, 2017-10-24T04:25:07Z, bizpr.us, 0.777048, Mass media, 0.633921
 ATsZS7pzty4cHvW5vCO4o2V0vUsVwyoH4oeWNERV7tD9bZNiR1mn7040cOiwds2q, Marketing, 1, Find the right influencer to boost your social media strategy, CO, 2017-10-24T04:25:07Z, bizpr.us, 0.777048, Brand, 0.613624
 ATsZS7pzty4cHvW5vCO4o2V0vUsVwyoH4oeWNERV7tD9bZNiR1mn7040cOiwds2q, Marketing, 1, Find the right influencer to boost your social media strategy, CO, 2017-10-24T04:25:07Z, bizpr.us, 0.777048, Audience, 0.611923
 ATsZS7pzty4cHvW5vCO4o2V0vUsVwyoH4oeWNERV7tD9bZNiR1mn7040cOiwds2q, Marketing, 1, Find the right influencer to boost your social media strategy, CO, 2017-10-24T04:25:07Z, bizpr.us, 0.777048, Marketing, 0.586707
 ATsZS7pzty4cHvW5vCO4o2V0vUsVwyoH4oeWNERV7tD9bZNiR1mn7040cOiwds2q, Marketing, 1, Find the right influencer to boost your social media strategy, CO, 2017-10-24T04:25:07Z, bizpr.us, 0.777048, People, 0.583095
 ATsZS7pzty4cHvW5vCO4o2V0vUsVwyoH4oeWNERV7tD9bZNiR1mn7040cOiwds2q, Marketing, 1, Find the right influencer to boost your social media strategy, CO, 2017-10-24T04:25:07Z, bizpr.us, 0.777048, Media studies, 0.569011
 ATsZS7pzty4cHvW5vCO4o2V0vUsVwyoH4oeWNERV7tD9bZNiR1mn7040cOiwds2q, Marketing, 1, Find the right influencer to boost your social media strategy, CO, 2017-10-24T04:25:07Z, bizpr.us, 0.777048, Brand management, 0.558651
 ATsZS7pzty4cHvW5vCO4o2V0vUsVwyoH4oeWNERV7tD9bZNiR1mn7040cOiwds2q, Marketing, 1, Find the right influencer to boost your social media strategy, CO, 2017-10-24T04:25:07Z, bizpr.us, 0.777048, Audience theory, 0.556723
 dJ9hTDgOFvthp843JJeR8jqxn0BcqiQ65iTqQvoTYm1z6WXZo09KdqPKj-oTdbMm, Marketing, 1, Low PIM Connector Market 2017- RF Industries  Pasternack  Carlisle, CO, 2017-10-24T11:26:54Z, bizpr.us, 0.78138, Marketing, 0.907439
 dJ9hTDgOFvthp843JJeR8jqxn0BcqiQ65iTqQvoTYm1z6WXZo09KdqPKj-oTdbMm, Marketing, 1, Low PIM Connector Market 2017- RF Industries  Pasternack  Carlisle, CO, 2017-10-24T11:26:54Z, bizpr.us, 0.78138, Years in the future, 0.889466
 dJ9hTDgOFvthp843JJeR8jqxn0BcqiQ65iTqQvoTYm1z6WXZo09KdqPKj-oTdbMm, Marketing, 1, Low PIM Connector Market 2017- RF Industries  Pasternack  Carlisle, CO, 2017-10-24T11:26:54Z, bizpr.us, 0.78138, Search engine optimization, 0.864466
 dJ9hTDgOFvthp843JJeR8jqxn0BcqiQ65iTqQvoTYm1z6WXZo09KdqPKj-oTdbMm, Marketing, 1, Low PIM Connector Market 2017- RF Industries  Pasternack  Carlisle, CO, 2017-10-24T11:26:54Z, bizpr.us, 0.78138, Coaxial cable, 0.753695
 dJ9hTDgOFvthp843JJeR8jqxn0BcqiQ65iTqQvoTYm1z6WXZo09KdqPKj-oTdbMm, Marketing, 1, Low PIM Connector Market 2017- RF Industries  Pasternack  Carlisle, CO, 2017-10-24T11:26:54Z, bizpr.us, 0.78138, The Repository, 0.709378
 dJ9hTDgOFvthp843JJeR8jqxn0BcqiQ65iTqQvoTYm1z6WXZo09KdqPKj-oTdbMm, Marketing, 1, Low PIM Connector Market 2017- RF Industries  Pasternack  Carlisle, CO, 2017-10-24T11:26:54Z, bizpr.us, 0.78138, RF connector, 0.708207
 dJ9hTDgOFvthp843JJeR8jqxn0BcqiQ65iTqQvoTYm1z6WXZo09KdqPKj-oTdbMm, Marketing, 1, Low PIM Connector Market 2017- RF Industries  Pasternack  Carlisle, CO, 2017-10-24T11:26:54Z, bizpr.us, 0.78138, 2016, 0.678775
 dJ9hTDgOFvthp843JJeR8jqxn0BcqiQ65iTqQvoTYm1z6WXZo09KdqPKj-oTdbMm, Marketing, 1, Low PIM Connector Market 2017- RF Industries  Pasternack  Carlisle, CO, 2017-10-24T11:26:54Z, bizpr.us, 0.78138, Electrical connector, 0.675132
 dJ9hTDgOFvthp843JJeR8jqxn0BcqiQ65iTqQvoTYm1z6WXZo09KdqPKj-oTdbMm, Marketing, 1, Low PIM Connector Market 2017- RF Industries  Pasternack  Carlisle, CO, 2017-10-24T11:26:54Z, bizpr.us, 0.78138, 2017, 0.645527
 FFFXlbaM-zKq0B3xLmX5lgxip8mHEMLIFKTlM8-FO3uMT6Vvn8i08oSDYVeP1Yux, Marketing, 1, Acid Proof Lining Market Analysis (2012 – 2016) & Opportunity Assessment (2017 – 2022), CO, 2017-10-24T11:09:48Z, bizpr.us, 0.655636, Future, 0.919632
 FFFXlbaM-zKq0B3xLmX5lgxip8mHEMLIFKTlM8-FO3uMT6Vvn8i08oSDYVeP1Yux, Marketing, 1, Acid Proof Lining Market Analysis (2012 – 2016) & Opportunity Assessment (2017 – 2022), CO, 2017-10-24T11:09:48Z, bizpr.us, 0.655636, Economics, 0.906535
 FFFXlbaM-zKq0B3xLmX5lgxip8mHEMLIFKTlM8-FO3uMT6Vvn8i08oSDYVeP1Yux, Marketing, 1, Acid Proof Lining Market Analysis (2012 – 2016) & Opportunity Assessment (2017 – 2022), CO, 2017-10-24T11:09:48Z, bizpr.us, 0.655636, Marketing, 0.861662
 FFFXlbaM-zKq0B3xLmX5lgxip8mHEMLIFKTlM8-FO3uMT6Vvn8i08oSDYVeP1Yux, Marketing, 1, Acid Proof Lining Market Analysis (2012 – 2016) & Opportunity Assessment (2017 – 2022), CO, 2017-10-24T11:09:48Z, bizpr.us, 0.655636, Forecasting, 0.701217
 FFFXlbaM-zKq0B3xLmX5lgxip8mHEMLIFKTlM8-FO3uMT6Vvn8i08oSDYVeP1Yux, Marketing, 1, Acid Proof Lining Market Analysis (2012 – 2016) & Opportunity Assessment (2017 – 2022), CO, 2017-10-24T11:09:48Z, bizpr.us, 0.655636, The Repository, 0.576529
 FFFXlbaM-zKq0B3xLmX5lgxip8mHEMLIFKTlM8-FO3uMT6Vvn8i08oSDYVeP1Yux, Marketing, 1, Acid Proof Lining Market Analysis (2012 – 2016) & Opportunity Assessment (2017 – 2022), CO, 2017-10-24T11:09:48Z, bizpr.us, 0.655636, Competitor analysis, 0.564115
 FFFXlbaM-zKq0B3xLmX5lgxip8mHEMLIFKTlM8-FO3uMT6Vvn8i08oSDYVeP1Yux, Marketing, 1, Acid Proof Lining Market Analysis (2012 – 2016) & Opportunity Assessment (2017 – 2022), CO, 2017-10-24T11:09:48Z, bizpr.us, 0.655636, Economics terminology, 0.537605
